"Name";"global_id";"Razdel";"Kod";"Nomdescr";"Idx";
"Услуги, связанные с производством электронных интегральных схем";"273512334";"C";"26.11.91";"Эта группировка включает:^- услуги по монтажу микросборок на печатных платах";"C.26.11.91";
"Услуги, связанные с производством электронных интегральных схем";"273512336";"C";"26.11.91.000";"";"C.26.11.91.000";
"Операции процесса производства электронных компонентов отдельные, выполняемые субподрядчиком";"273512338";"C";"26.11.99";"";"C.26.11.99";
"Операции процесса производства электронных компонентов отдельные, выполняемые субподрядчиком";"273512340";"C";"26.11.99.000";"";"C.26.11.99.000";
"Платы печатные смонтированные";"273512342";"C";"26.12";"";"C.26.12";
"Платы печатные смонтированные";"273512344";"C";"26.12.1";"";"C.26.12.1";
"Платы печатные смонтированные";"273512346";"C";"26.12.10";"";"C.26.12.10";
"Платы печатные смонтированные";"273512348";"C";"26.12.10.000";"";"C.26.12.10.000";
"Платы звуковые, видеоплаты, сетевые и аналогичные платы для машин автоматической обработки информации";"273512351";"C";"26.12.2";"";"C.26.12.2";
"Платы звуковые, видеоплаты, сетевые и аналогичные платы для машин автоматической обработки информации";"273512353";"C";"26.12.20";"";"C.26.12.20";
"Платы звуковые, видеоплаты, сетевые и аналогичные платы для машин автоматической обработки информации";"273512355";"C";"26.12.20.000";"";"C.26.12.20.000";
"Карты со встроенными интегральными схемами (смарт-карты)";"273512357";"C";"26.12.3";"";"C.26.12.3";
"Карты со встроенными интегральными схемами (смарт-карты)";"273512360";"C";"26.12.30";"";"C.26.12.30";
"Карты со встроенными интегральными схемами (смарт-карты)";"273512362";"C";"26.12.30.000";"";"C.26.12.30.000";
"Услуги, связанные с изготовлением печатных плат; отдельные операции процесса производства смонтированных электронных плат, выполняемые субподрядчиком";"273512365";"C";"26.12.9";"";"C.26.12.9";
"Услуги, связанные с изготовлением печатных плат";"273512367";"C";"26.12.91";"Эта группировка включает:^- услуги, связанные с травлением печатных плат и полупроводников, покрытием лаком и напылением";"C.26.12.91";
"Услуги, связанные с изготовлением печатных плат";"273512369";"C";"26.12.91.000";"";"C.26.12.91.000";
"Операции процесса производства смонтированных электронных плат отдельные, выполняемые субподрядчиком";"273512371";"C";"26.12.99";"";"C.26.12.99";
"Операции процесса производства смонтированных электронных плат отдельные, выполняемые субподрядчиком";"273512373";"C";"26.12.99.000";"";"C.26.12.99.000";
"Компьютеры и периферийное оборудование";"273512376";"C";"26.2";"";"C.26.2";
"Компьютеры и периферийное оборудование";"273512378";"C";"26.20";"";"C.26.20";
"Компьютеры, их части и принадлежности";"273512380";"C";"26.20.1";"";"C.26.20.1";
"Компьютеры портативные массой не более 10 кг, такие как ноутбуки, планшетные компьютеры, карманные компьютеры, в том числе совмещающие функции мобильного телефонного аппарата, электронные записные книжки и аналогичная компьютерная техника";"273512382";"C";"26.20.11";"";"C.26.20.11";
"Компьютеры портативные массой не более 10 кг, такие как ноутбуки, планшетные компьютеры, карманные компьютеры, в том числе совмещающие функции мобильного телефонного аппарата";"273512383";"C";"26.20.11.110";"";"C.26.20.11.110";
"Книжки электронные записные и аналогичная компьютерная техника";"273512385";"C";"26.20.11.120";"";"C.26.20.11.120";
"Терминалы кассовые, банкоматы и аналогичное оборудование, подключаемое к компьютеру или сети передачи данных";"273512387";"C";"26.20.12";"";"C.26.20.12";
"Терминалы кассовые, подключаемые к компьютеру или сети передачи данных";"273512388";"C";"26.20.12.110";"";"C.26.20.12.110";
"Банкоматы и аналогичное оборудование, подключаемое к компьютеру или сети передачи данных";"273512390";"C";"26.20.12.120";"";"C.26.20.12.120";
"Машины вычислительные электронные цифровые, содержащие в одном корпусе центральный процессор и устройство ввода и вывода, объединенные или нет для автоматической обработки данных";"273512392";"C";"26.20.13";"";"C.26.20.13";
"Машины вычислительные электронные цифровые, содержащие в одном корпусе центральный процессор и устройство ввода и вывода, объединенные или нет для автоматической обработки данных";"273512393";"C";"26.20.13.000";"";"C.26.20.13.000";
"Машины вычислительные электронные цифровые, поставляемые в виде систем для автоматической обработки данных";"273512396";"C";"26.20.14";"";"C.26.20.14";
"Машины вычислительные электронные цифровые, поставляемые в виде систем для автоматической обработки данных";"273512398";"C";"26.20.14.000";"";"C.26.20.14.000";
"Машины вычислительные электронные цифровые прочие, содержащие или не содержащие в одном корпусе одно или два из следующих устройств для автоматической обработки данных: запоминающие устройства, устройства ввода, устройства вывода";"273512400";"C";"26.20.15";"";"C.26.20.15";
"Машины вычислительные электронные цифровые прочие, содержащие или не содержащие в одном корпусе одно или два из следующих устройств для автоматической обработки данных: запоминающие устройства, устройства ввода, устройства вывода";"273512402";"C";"26.20.15.000";"";"C.26.20.15.000";
"Устройства ввода или вывода, содержащие или не содержащие в одном корпусе запоминающие устройства";"273512404";"C";"26.20.16";"";"C.26.20.16";
"Клавиатуры";"273512406";"C";"26.20.16.110";"";"C.26.20.16.110";
"Принтеры";"273512408";"C";"26.20.16.120";"";"C.26.20.16.120";
"Графопостроители";"273512410";"C";"26.20.16.130";"";"C.26.20.16.130";
"Терминалы ввода/вывода данных";"273512412";"C";"26.20.16.140";"";"C.26.20.16.140";
"Сканеры";"273512414";"C";"26.20.16.150";"";"C.26.20.16.150";
"Устройства ввода сенсорные";"273512416";"C";"26.20.16.160";"Эта группировка включает:^- графические планшеты, световые перья, сенсорные панели, сенсорные экраны и аналогичные устройства";"C.26.20.16.160";
"Манипуляторы";"273512418";"C";"26.20.16.170";"Эта группировка включает:^- мыши, джойстики, трекболы и аналогичные устройства";"C.26.20.16.170";
"Устройства ввода/вывода данных прочие";"273512420";"C";"26.20.16.190";"";"C.26.20.16.190";
